1,Timebands,Digi 24,Antena 3 CNN,B1TV,Realitatea Plus,Romania TV
78,19:30 - 19:45,0.35,0.7,0.11,0.3,0.6
79,19:45 - 20:00,0.52,0.59,0.21,0.22,0.6
80,>>> 19:00 - 20:00,0.41,0.69,0.11,0.31,0.5
81,20:00 - 20:15,0.55,0.67,0.2,0.33,0.7
82,20:15 - 20:30,0.62,0.66,0.09,0.55,0.67
83,20:30 - 20:45,0.37,0.98,0.16,0.37,0.8
84,20:45 - 21:00,0.4,1.22,0.14,0.38,0.57
85,21:00 - 21:15,0.61,1.34,0.1,0.3,0.79
86,21:15 - 21:30,0.6,1.52,0.14,0.32,0.99
87,21:30 - 21:45,0.69,1.58,0.23,0.24,0.96
88,21:45 - 22:00,0.59,1.51,0.16,0.63,0.45
89,22:00 - 22:15,0.55,1.5,0.11,0.23,0.55
90,22:15 - 22:30,0.76,1.3,0.1,0.37,0.58
91,22:30 - 22:45,0.77,1.35,0.1,0.36,0.65
92,22:45 - 23:00,0.38,1,0.09,0.64,0.6
93,>>> 20:00 - 23:00,0.58,1.22,0.13,0.39,0.69
94,23:00 - 23:15,0.43,0.94,0.11,0.43,0.84
95,23:15 - 23:30,0.49,0.81,0.11,0.62,0.49
96,23:30 - 23:45,0.21,0.83,0.1,0.59,0.51
97,23:45 - 24:00,0.1,0.87,0.1,0.71,0.56
98,24:00 - 24:15,0.08,1.11,0,0.63,0.61
99,24:15 - 24:30,0.13,1.09,0,0.41,0.59
100,24:30 - 24:45,0.33,0.74,0.03,0.39,0.58
101,24:45 - 25:00,0.22,0.2,0.15,0.35,0.49
102,>>> 23:00 - 25:00,0.25,0.82,0.07,0.52,0.58
103,25:00 - 25:15,0.22,0.13,0.15,0.36,0.31
104,25:15 - 25:30,0.17,0.22,0.09,0.35,0.21
105,25:30 - 25:45,0.22,0.14,0.09,0.27,0.21
106,25:45 - 26:00,0.23,0.13,0.05,0.11,0.21
107,>>> 25:00 - 26:00,0.21,0.15,0.09,0.27,0.23
108,Whole day,0.43,0.58,0.06,0.23,0.49
