1,Timebands,Digi 24,Antena 3 CNN,B1TV,Realitatea Plus,Romania TV
82,20:15 - 20:30,0.73,1.08,0.02,0.2,0.53
83,20:30 - 20:45,0.83,0.87,0,0.19,0.94
84,20:45 - 21:00,0.75,0.78,0.05,0.14,1.17
85,21:00 - 21:15,0.85,0.8,0,0.12,1.24
86,21:15 - 21:30,1.09,0.86,0,0.22,1.35
87,21:30 - 21:45,1.31,1.21,0.07,0.29,1.06
88,21:45 - 22:00,1.24,1.22,0.04,0.49,0.73
89,22:00 - 22:15,1.32,1.06,0.01,0.52,0.75
90,22:15 - 22:30,1.56,0.94,0.01,0.55,0.64
91,22:30 - 22:45,1.17,1.09,0.04,0.5,0.56
92,22:45 - 23:00,0.58,0.87,0.06,0.37,0.51
93,>>> 20:00 - 23:00,1.03,0.98,0.03,0.33,0.83
94,23:00 - 23:15,0.59,0.49,0,0.43,0.89
95,23:15 - 23:30,0.55,0.36,0,0.44,0.76
96,23:30 - 23:45,0.25,0.44,0,0.33,0.54
97,23:45 - 24:00,0.33,0.38,0.05,0.44,0.5
98,24:00 - 24:15,0.36,0.14,0,0.55,0.54
99,24:15 - 24:30,0.34,0.16,0,0.45,0.54
100,24:30 - 24:45,0.3,0.11,0,0.57,0.44
101,24:45 - 25:00,0.31,0.09,0.09,0.35,0.33
102,>>> 23:00 - 25:00,0.38,0.27,0.02,0.44,0.57
103,25:00 - 25:15,0.28,0.11,0,0.39,0.27
104,25:15 - 25:30,0.28,0.08,0,0.39,0.22
105,25:30 - 25:45,0.22,0.04,0,0.26,0.18
106,25:45 - 26:00,0.22,0,0,0.18,0.2
107,>>> 25:00 - 26:00,0.25,0.06,0,0.31,0.22
108,Whole day,0.56,0.48,0.06,0.21,0.47
